epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.15,1.06423,1.15203,1.26548,0.80323,0.69409,0.78114,0.51332,1.14979,1.05694,1.30146,0.000474899,0.000474899,0.000474899
2,334.19,1.09659,0.99129,1.27491,0.83806,0.7482,0.83654,0.55488,1.11635,0.91785,1.30399,0.000941815,0.000941815,0.000941815
3,504.514,1.08106,0.96927,1.26456,0.8533,0.76756,0.85019,0.58487,1.02813,0.85268,1.20815,0.0013993,0.0013993,0.0013993
4,671.991,1.05744,0.94225,1.25284,0.83209,0.79376,0.85933,0.60273,1.00476,0.8285,1.19982,0.00138656,0.00138656,0.00138656
5,845.169,1.01084,0.88171,1.22368,0.86393,0.78889,0.86518,0.61808,0.95543,0.81848,1.17882,0.00137241,0.00137241,0.00137241
6,1015.71,0.98491,0.85841,1.2063,0.88994,0.82486,0.90165,0.64905,0.92243,0.71914,1.14164,0.00135826,0.00135826,0.00135826
7,1192.94,0.9535,0.81476,1.1909,0.89229,0.8272,0.90435,0.66802,0.87469,0.66778,1.10806,0.00134412,0.00134412,0.00134412
8,1361.73,0.93304,0.78065,1.16722,0.89844,0.83918,0.91663,0.67251,0.8862,0.64776,1.10559,0.00132997,0.00132997,0.00132997
9,1533.23,0.91291,0.7638,1.16455,0.90044,0.85411,0.91636,0.68119,0.85995,0.63113,1.08236,0.00131582,0.00131582,0.00131582
10,1697.37,0.89226,0.73543,1.14953,0.9004,0.85189,0.91799,0.68043,0.84457,0.63863,1.08583,0.00130168,0.00130168,0.00130168
11,1870.66,0.88858,0.73134,1.15008,0.90189,0.86238,0.92303,0.69693,0.83195,0.6026,1.06243,0.00128753,0.00128753,0.00128753
12,2036.13,0.87303,0.69721,1.13382,0.90881,0.85389,0.92547,0.70493,0.80547,0.60072,1.05099,0.00127338,0.00127338,0.00127338
13,2202.07,0.86413,0.69162,1.12906,0.90606,0.87801,0.93319,0.71363,0.79698,0.56579,1.04266,0.00125923,0.00125923,0.00125923
14,2362.62,0.85814,0.6913,1.12694,0.91167,0.8553,0.9315,0.70597,0.80915,0.59065,1.05201,0.00124509,0.00124509,0.00124509
15,2522.75,0.84982,0.68374,1.12552,0.90275,0.87256,0.93178,0.70735,0.79216,0.57882,1.03646,0.00123094,0.00123094,0.00123094
16,2684.35,0.83823,0.65756,1.11127,0.90907,0.88073,0.93769,0.71817,0.79953,0.54518,1.04729,0.00121679,0.00121679,0.00121679
17,2845.83,0.81988,0.64421,1.10561,0.90847,0.88614,0.94104,0.72602,0.77334,0.53957,1.02662,0.00120265,0.00120265,0.00120265
